id,opening_hours
node/11901214589,
node/2437697969,"Su-Th 12:00-23:00; Fr,Sa 12:00-24:00"
node/330128416,
a23fc9c6-e08b-420b-a95a-f9d8e68b4805,
a126ec94-14ee-4af1-9c23-4ba9ef287482,
node/733975796,
node/1687799181,
f7360445-1408-4a12-8e26-514b40347a84,
way/1332679971,Mo-Th 12:00-23:00; Fr-Sa 12:00-24:00; Su 12:00-23:00
node/8132648120,Mo-Th 11:00-00:00; Fr-Sa 11:00-01:00; Su 12:00-00:00
node/460668847,
node/27364392,
node/1598393379,
node/331362139,
way/1030316322,
node/13315502601,
way/1007692612,
way/378840186,
3151adbb-2b00-4594-94cd-b588730dbd70,
node/262637210,
